0.03882,0.038664,-0.021404,0.020557,0.034403,-0.020244,0,0,0
0.035682,0.01864,-0.078806,-0.08916,-0.13916,0.09317,0,0,0
0.18261,0.49871,0.018705,-0.11154,-0.10397,0.041848,0,0,0
-0.00065037,-0.051565,0.0048404,1.0936,1.4226,0.057603,0,0,0
3.5482,-5.0122,0.0008231,2.2694,-4.9316,-0.10744,1.309,-4.1275,0
-0.84677,-1.0464,-0.061549,-1.9985,-2.351,-0.096599,0.10828,0.12412,0
0.017715,-0.025224,-0.0012251,0.049155,0.047812,0.1174,0,0,0
0.00089584,0.0038785,-0.10848,0.0023519,0.0044047,-0.058728,0,0,0
-0.0014353,-0.0088241,-0.0086217,0.022221,0.016141,-0.07356,-0.34012,-0.38989,0
-0.44832,-0.49894,-0.012937,-0.66617,-0.74219,0.10405,-0.34678,-0.39753,0
-0.091131,-0.10092,0.033352,-0.13196,-0.14591,0.080468,-0.35552,-0.40754,0
-0.028075,0.018242,0.0015529,1.0217,1.0031,0.18777,0,0,0
-0.00045665,-0.00015067,0.10922,-0.00037152,-6.9733e-05,0.0051898,0,0,0
0.0099727,-0.0055375,0.01229,-0.00078262,0.0025157,0.062083,0,0,0
-0.00070611,0.00077145,-0.03911,0.00020381,-0.00031853,0.073911,0,0,0
8.6624e-06,-0.00053159,-0.0023957,-1.5266e-06,-0.00060346,0.10271,0,0,0
0,0,-0.10999,0,0,-0.16829,-0.096795,-0.11096,0
0,0,-0.028533,0,0,-0.029162,0.26782,0.30701,0
